uuid,title,notes,type,status,trashed,start,startDate,deadline,creationDate,stopDate,project_name,area_name,heading_name
TR5WFbSwKGWtwF8peHhTA1,"AI分析金句位置，自动剪辑出来，每段视频1-3分钟，末尾加15秒广告引流购买订阅","",0,0,0,1,132795008,,1776745143.24287,,,,
HG1wCxWShG4bEuqg22YCV,"思考怎么记录每一刻，家里的摄像头应该怎么放","",0,0,0,1,132795008,,1776702885.62265,,,,
8MB2RV6WGgnpFoVKdDDy2E,"做一个霍格沃兹风格的提示词手账本样式的提示词笔记本","",0,0,0,2,,,1768294718.8243,,,,
R6FKbKK12ET6QrGFQbSn7x,"我的壁垒是什么，build in public ， 加上时间的沉淀。时间是唯一的壁垒","",0,0,0,1,132795008,,1776702849.15567,,,,
5zTWN2LiRbSpgScBTYrgh6,"可以把每周与AI对话的提问收集起来，让AI帮助提升提问的水平","",0,0,0,2,,,1767535127.70433,,,,
TpZdz3U1mLYvxi2T1MhiQn,"学习知识图谱相关的内容，思考怎么真正建立自己对世界的认知地图","",0,0,0,2,,,1767535241.24556,,,,
6WwoZtaqjDScLTZYDWAmiY,"记录冥想的每一次，到后面看变化","",0,0,0,1,132795008,,1776702796.93793,,,,
L8eKV42T67mK4YJsMhn5H,"用 superpowers 脑暴 柳比歇夫时间记录如何融入 obsidian","",0,0,0,2,,,1769958803.31064,,,,
9eYf66TUZbtFV439Drc231,"用 Skill 拯救你的 AI 网页设计审美！ Claude Skill ... http://xhslink.com/o/9IrlcA0Hw0U","复制后打开【小红书】查看笔记！
",0,0,0,0,,,1767968751.07529,,,,
BKVk4P8guMW4WJfojSoK9j,"做一次复盘，梳理下到现在做了什么，还要做什么，优先级是什么，至少得有个年规划","",0,0,0,2,,,1767863646.54671,,,,
6eTsmsXaVwKqmRgE5EcLks,"英语学习研究","",0,0,0,1,132800640,,1780289832.44484,,,,
MUFR2y6n9kyafTL3VK41rr,"things 整理","",0,0,0,2,,,1769957704.64733,,,,
ACAxZL9LXWRUE8jFTFyVPB,"学习一些键盘快捷键","若要掌握 Things 的所有快捷键，前往“帮助” → “键盘快捷键”。下面是几个最重要快捷键：

⌘S：选择何时开始待办事项
⌘T：将待办事项标记为今天
⌘⇧M：将待办事项移到另一个列表

⌘↑：向上移动待办事项
⌘↓：向下移动待办事项",0,0,0,1,,,1764594884.83409,,,,"提高工作效率"
FniWoPN6JYZo84kFuJr9Cy,"现在 auto agent 没有展示 think 标签和工具调用等等，只有气泡","",0,0,0,1,132797952,,1778600585.25399,,,,
Vefj2Bbdb2LvwoM2xkFUPG,"把数据中心部署上线","",0,0,0,1,132795008,,1776700998.14609,,,,
Qu4vaMZYTMXEcQpXtjJAjx,"mermaid支持主题","",0,0,0,1,,,1766544348.45564,,,,
44wEWYrrBR9qteWAvGiykW,"n8n订阅到期时间20270129","",0,0,0,2,132847872,132847872,1769655492.26163,,,,
4aG1pqQKiNGBY27CY5tPRU,"爬取微信公众号——孤独大脑","",0,0,0,2,,,1767703310.60608,,,,
LSY5Vs8yki2QdUdDTLiPC6,"研究英语如何学习","",0,0,0,2,,,1767367946.31594,,,,
R3Xs68BRVSYoqZYt476BRj,"好震撼 我突然意识到天赋就是天，赋。今天看到一句特... http://xhslink.com/o/76QeRleJeRj","复制后打开【小红书】查看笔记！
",0,0,0,2,,,1767795714.34374,,,,
5AB73xQYNHsUQnBJMXHmE1,"开始做数据分析","",0,0,0,1,132795008,,1776701018.5324,,,,
9eqbsfCY1K7FkQdbQnUBYg,"复盘五月做的事情","",0,0,0,1,132800640,,1780289876.3269,,,,
MuVaTEyh8ySFqtAJrPnM2G,"选两个人进行分析","",0,0,0,1,132795008,,1776701037.12192,,,,
WSHErRaXUirmb7hZRAfuK3,"电子邮件、文件和网页链接","您可以连接至电子邮件、文件和网页，只需将其拖入待办事项的备注即可。

更好的是，您可以使用“快速录入”的自动填写功能自动完成。若要启用自动填写功能，前往“Things”→“设置”（或“偏好设置”）→快速录入”。",0,0,0,1,,,1764594884.8303,,,,"提高工作效率"
UNv5HMRWZhY5MEbrfgxauP,"将待办事项转换为项目","有时候，您可能创建一个待办事项，但是后来发现它实际上是一个更加复杂的项目。没问题！在下面的工具栏中，点按 ••• 并选择“转换为项目”。

这些检查列表项将变成新项目中的待办事项：",0,0,0,1,,,1764594884.83311,,,,"提高工作效率"
7nzpHy2sYqqnqtWYvDFW97,"","",0,0,0,1,,,1764645342.67417,,,,
Dmsdwh8nNaMadyXk4FB8zv,"为待办事项添加标签","通过标签，您可以在 Things 中自定义工作流程。

例如，您可以…
- 使用标签标记地点，例如“办公室”或“家庭”。
- 标记您所有的“差旅”。
- 使用“重要”标签区分待办事项优先级。
- 标记您正在与“凯特”一起做的事情。
- 或者您可以创作自己的标签。

若要添加标签，点按下面的标签按钮。若要查看某标签的所有待办事项，通过“快速查找”进行搜索。",0,0,0,1,,,1764593668.6369,,,,"提高工作效率"
T5AHKJye324GmRJpFo8agt,"滑动进行快速操作","想要快速推迟一个待办事项？
→ 向右滑动

想要一次编辑多个待办事项？
← 向左滑动

折叠此待办事项，试试吧。",0,0,0,1,,,1764593668.6357,,,,"提高工作效率"
LKwLw6svsDiRPQru8QzMyK,"逐步操作","通过添加检查列表将待办事项分解成更小的步骤。您可以用它跟踪日常事务、收拾行李箱、制作食品清单等等。

谁知道制作花生酱饼干是如此简单呢？ 😃",0,0,0,1,,,1764593668.63605,,,,"提高工作效率"
WyFKD9FHVCdQKqTDMmc9Vw,"任何问题？我们随时为您解答！","如果您有任何问题，请前往我们的网站，上面有许多技术支持文章供您参阅。您也可以向我们发送信息，我们很乐意提供帮助！

culturedcode.com/things/support/",0,0,0,1,,,1764593668.6391,,,,"在您离开之前…"
Fsh4p358dpWvyrKvnoPg2W,"继续关注我们","率先了解此应用的最新功能和开发情况。在社交网络上关注我们，或者注册接收我们的时事通讯：culturedcode.com/follow/",0,0,0,1,,,1764593668.63858,,,,"在您离开之前…"
EsFTHEkNV2KSTEo67rXWY4,"添加小组件","小组件可让您快速查看列表并从主屏幕或锁定屏幕创建待办事项。

在主屏幕上：
1. 轻点并按住任意 App 图标，然后选择“编辑主屏幕”
2. 在屏幕顶部轻点“+”按钮
3. 搜索“Things”并添加小组件
4. 轻点小组件以将其反转，然后选择需要显示的列表

在锁定屏幕上：
1. 锁定 iPhone
2. 长按墙纸
3. 轻点“自定”
4. 轻点“锁定屏幕”
5. 轻点时钟上方或下方的其中一个长方形
6. 搜索“Things”并添加小组件
7. 如果小组件显示一个列表，请轻点它以便选择需要显示的列表",0,0,0,1,,,1764593668.63435,,,,"调整您的设置"
JhuY2X1oWcMkmPLEShbizB,"计划您的晚上","使用 Things 管理工作和个人生活时，您会发现可以轻松将部分待办事项设置为今天晚些时候处理。轻点下方的日历按钮，并选择“今晚”。",0,0,0,1,,,1764593668.63781,,,,"提高工作效率"
5EkN6ZhYZXKimtaNz1ZvZg,"设置提醒事项","每天早晨查看“今天”列表，看看您的日程安排，这是一个很好的习惯。但是，对于那些不能错过的待办事项，设置提醒会让您高枕无忧。

轻点下方的日历按钮，然后轻点""添加提醒""，然后设置一个时间。",0,0,0,1,,,1764593668.63673,,,,"提高工作效率"
5ni9Kriit4PbRhdRs8EX74,"使用“”标记为备注添加结构","现在，您可以使用 Markdown 来为笔记添加结构和样式！

以下是 Markdown 语言的运作方式：如果要突出强调一个词，可以为其加星号，就像*强调*。您可以看到，Things 可以检测到这种用法，并将这个词修改为斜体。如果您删除星号，这个词将恢复为正常字体。

更多示例如下：
- 使用两个星号可以将文字**加粗**。
- 使用冒号可以::高亮显示::文字。
- 在一行的开头插入“#”，可以将其设置为标题。
- 您还可以在一个词上轻点两下，将其选中，接着轻点“格式”，从弹窗中选择一个样式。

如需了解更多信息，请查看我们的“Markdown 指南”：culturedcode.com/things/help/markdown/",0,0,0,1,,,1764593668.63816,,,,"提高工作效率"
MpGbQfyG2F8cbgyQE4DFUJ,"让您的待办事项重复","有些事情您每几天、几周或几个月就会做一次。这时您就可以创建一个重复的待办事项，Things 到时候将自动提醒您。这会节省许多时间，让您始终如一。

若要让待办事项重复，请轻点下方工具栏中的 •••，然后选择“重复”。",0,0,0,1,,,1764593668.63764,,,,"提高工作效率"
28yB3Q3CFhJxn1DFb5i73Q,"拖动加号按钮！","您在屏幕底部看到的蓝色按钮比它看起来功能更强大 – 这个按钮就是用来移动的！",0,0,0,1,,,1764593668.63496,,,,"提高工作效率"
FTWPX6dVoAsPSwkWxrgi3T,"快速添加到收件箱","无论在哪个列表中，您都可以向收件箱快速添加待办事项。先拖加号按钮，然后放到出现在左侧的收件箱快捷方式中。",0,0,0,1,,,1764593668.63553,,,,"提高工作效率"
RuCbAzEU9K36J8THy2MB27,"试试使用 Siri","您可以使用 Siri 快速添加新待办事项或显示列表。请前往 Things 的“设置”→“Siri”，以了解更多信息。",0,0,0,1,,,1764593668.63799,,,,"提高工作效率"
PtFt55EFPw9B8oeCBQgQKK,"为这款应用程序评分","若您喜欢 Things，请前往 App Store 给我们点评 – 小动作，大不同！

culturedcode.com/things/iphone/appstore/",0,0,0,1,,,1764593668.63875,,,,"在您离开之前…"
EeJWca21FDU1U13dvyxUxo,"转换为项目","有时候，您可能创建一个待办事项，但是后来发现它实际上是一个更加复杂的项目。没问题！在下方的工具栏中，轻点 ••• 并选择“转换”。

这些检查列表项将变成新项目中的待办事项：",0,0,0,1,,,1764593668.63708,,,,"提高工作效率"
